Start,Finish,Distance (mi),Steps (count)
27-Sep-2016 00:00,28-Sep-2016 00:00,1.69158365147539,3870.0
28-Sep-2016 00:00,29-Sep-2016 00:00,5.23128853691466,11801.3277498664
29-Sep-2016 00:00,30-Sep-2016 00:00,7.45769910982394,16979.1038719504
30-Sep-2016 00:00,01-Oct-2016 00:00,9.68312559956663,20982.324828057
01-Oct-2016 00:00,02-Oct-2016 00:00,5.3298763807843,11805.2435501262
02-Oct-2016 00:00,03-Oct-2016 00:00,3.99470642563788,9164.0
03-Oct-2016 00:00,04-Oct-2016 00:00,5.42456971367247,11710.3195630133
04-Oct-2016 00:00,05-Oct-2016 00:00,4.59917422960615,10082.6804369867
05-Oct-2016 00:00,06-Oct-2016 00:00,3.85940789380871,8818.0
06-Oct-2016 00:00,07-Oct-2016 00:00,4.60794976587491,10226.7656213489
07-Oct-2016 00:00,08-Oct-2016 00:00,6.02692271455177,13312.9511745689
08-Oct-2016 00:00,09-Oct-2016 00:00,2.02172452473629,4461.28320408215
09-Oct-2016 00:00,10-Oct-2016 00:00,1.75135334645674,4435.0
10-Oct-2016 00:00,11-Oct-2016 00:00,6.65729613622366,14724.0
11-Oct-2016 00:00,12-Oct-2016 00:00,5.11447521474591,10344.0
12-Oct-2016 00:00,13-Oct-2016 00:00,5.41277066929206,11936.0
13-Oct-2016 00:00,14-Oct-2016 00:00,6.31103549808933,13130.0
14-Oct-2016 00:00,15-Oct-2016 00:00,5.04137224743133,11468.0
15-Oct-2016 00:00,16-Oct-2016 00:00,5.18692707495465,11639.7250171251
16-Oct-2016 00:00,17-Oct-2016 00:00,8.49277308756617,18405.2749828749
17-Oct-2016 00:00,18-Oct-2016 00:00,3.89576977726983,8511.0
18-Oct-2016 00:00,19-Oct-2016 00:00,4.07069813547935,8901.0
19-Oct-2016 00:00,20-Oct-2016 00:00,3.55848757781025,8078.0
20-Oct-2016 00:00,21-Oct-2016 00:00,6.39939532152809,13355.0772601388
21-Oct-2016 00:00,22-Oct-2016 00:00,4.56911915674779,10341.9227398612
22-Oct-2016 00:00,23-Oct-2016 00:00,3.6184797868949,8360.0
23-Oct-2016 00:00,24-Oct-2016 00:00,4.51474528739048,10315.0
24-Oct-2016 00:00,25-Oct-2016 00:00,3.01476208534438,7006.0
25-Oct-2016 00:00,26-Oct-2016 00:00,4.03354015480101,9096.0
26-Oct-2016 00:00,27-Oct-2016 00:00,3.13254860637302,7036.0
27-Oct-2016 00:00,28-Oct-2016 00:00,4.95401001538474,11710.0
28-Oct-2016 00:00,29-Oct-2016 00:00,7.89938215270622,17814.0
29-Oct-2016 00:00,30-Oct-2016 00:00,8.7653977052096,19617.8400229173
30-Oct-2016 00:00,31-Oct-2016 00:00,0.518139906172666,1188.15997708273
31-Oct-2016 00:00,01-Nov-2016 00:00,4.02592688038579,8888.0
01-Nov-2016 00:00,02-Nov-2016 00:00,3.41518416515772,7411.44463380934
02-Nov-2016 00:00,03-Nov-2016 00:00,3.66769329118429,8189.55536619066
03-Nov-2016 00:00,04-Nov-2016 00:00,5.54995368420935,12716.0
04-Nov-2016 00:00,05-Nov-2016 00:00,4.11394650721943,9210.0
05-Nov-2016 00:00,06-Nov-2016 00:00,8.79521783760045,20280.0088025867
06-Nov-2016 00:00,07-Nov-2016 00:00,4.05489598874454,9574.99119741326
07-Nov-2016 00:00,08-Nov-2016 00:00,3.08265005342389,7074.0
08-Nov-2016 00:00,09-Nov-2016 00:00,3.69505540580631,8332.64124775065
09-Nov-2016 00:00,10-Nov-2016 00:00,4.81958225481596,10794.3587522493
10-Nov-2016 00:00,11-Nov-2016 00:00,4.7046366232706,10570.0
11-Nov-2016 00:00,12-Nov-2016 00:00,4.38006664543732,9511.90775490223
12-Nov-2016 00:00,13-Nov-2016 00:00,4.74311821738132,10795.0922450978
13-Nov-2016 00:00,14-Nov-2016 00:00,4.40216457270368,10199.0
14-Nov-2016 00:00,15-Nov-2016 00:00,4.72963564565901,10640.0
15-Nov-2016 00:00,16-Nov-2016 00:00,3.08466675067154,7339.0
16-Nov-2016 00:00,17-Nov-2016 00:00,4.39002843355804,9784.0
17-Nov-2016 00:00,18-Nov-2016 00:00,5.95311356109119,13720.0
18-Nov-2016 00:00,19-Nov-2016 00:00,3.9382096744265,9270.0
19-Nov-2016 00:00,20-Nov-2016 00:00,7.27727029543061,16032.0
20-Nov-2016 00:00,21-Nov-2016 00:00,4.09891175861324,9330.0
21-Nov-2016 00:00,22-Nov-2016 00:00,3.13798055594462,7010.0
22-Nov-2016 00:00,23-Nov-2016 00:00,3.2899052651417,7258.0
23-Nov-2016 00:00,24-Nov-2016 00:00,4.33730205891217,9797.27634630504
24-Nov-2016 00:00,25-Nov-2016 00:00,4.41721795022469,9919.72365369496
25-Nov-2016 00:00,26-Nov-2016 00:00,4.33020554412368,9683.0
26-Nov-2016 00:00,27-Nov-2016 00:00,4.33798173427785,9563.0
27-Nov-2016 00:00,28-Nov-2016 00:00,3.79691800571054,9062.05369380502
28-Nov-2016 00:00,29-Nov-2016 00:00,4.85762421999103,9706.94630619498
29-Nov-2016 00:00,30-Nov-2016 00:00,4.24882766374609,9520.0
30-Nov-2016 00:00,01-Dec-2016 00:00,3.33918943419819,8002.04394351015
01-Dec-2016 00:00,02-Dec-2016 00:00,6.02635220336143,14157.9560564899
02-Dec-2016 00:00,03-Dec-2016 00:00,6.03423964249557,13480.0
03-Dec-2016 00:00,04-Dec-2016 00:00,6.20115707740939,13499.0
04-Dec-2016 00:00,05-Dec-2016 00:00,4.22560292114805,10060.0
05-Dec-2016 00:00,06-Dec-2016 00:00,2.59499933735171,5633.0
06-Dec-2016 00:00,07-Dec-2016 00:00,4.78725098637118,10530.0
07-Dec-2016 00:00,08-Dec-2016 00:00,3.03627829139128,6679.0
08-Dec-2016 00:00,09-Dec-2016 00:00,5.49952546629449,11676.0
09-Dec-2016 00:00,10-Dec-2016 00:00,5.04514750634334,11218.234503413
10-Dec-2016 00:00,11-Dec-2016 00:00,5.10042044674272,11274.765496587
11-Dec-2016 00:00,12-Dec-2016 00:00,4.98490164402042,10923.0
12-Dec-2016 00:00,13-Dec-2016 00:00,4.50743397090779,10015.2612016175
